# Indonesian for Hushfacebook: the English key, a tab, the translation. One row per string.
# After editing, run python scripts/gen-l10n.py from the repository root.
"Pages you may like" and Facebook's own upsell cards. The in-feed surveys go too.	“Halaman yang mungkin Anda sukai” dan kartu penawaran dari Facebook sendiri. Survei di Kabar Beranda ikut hilang.
%1$d item in that file isn't a setting this version of Hushfacebook knows, so it'll be left out.	%1$d item dalam file itu bukan pengaturan yang dikenali versi Hushfacebook ini, jadi tidak akan disertakan.
%1$d items in that file aren't settings this version of Hushfacebook knows, so they'll be left out.	%1$d item dalam file itu bukan pengaturan yang dikenali versi Hushfacebook ini, jadi tidak akan disertakan.
%1$d switch will change.	%1$d sakelar akan berubah.
%1$d switches will change.	%1$d sakelar akan berubah.
%1$s of %2$s	%1$s dari %2$s
%1$s so far	%1$s terunduh
%1$s. It was set when you patched, so Pause can't turn it off. To rule it out, patch again without the patch it comes from.	%1$s. Ini diatur saat Anda menambal, jadi Jeda tidak dapat mematikannya. Untuk memastikan bukan ini penyebabnya, tambal ulang tanpa tambalan asalnya.
%1$s. They were set when you patched, so Pause can't turn them off. To rule one out, patch again without the patch it comes from.	%1$s. Ini diatur saat Anda menambal, jadi Jeda tidak dapat mematikannya. Untuk memastikan bukan ini penyebabnya, tambal ulang tanpa tambalan asalnya.
A diagnostic report is already being saved.	Sudah ada laporan diagnostik yang sedang disimpan.
A Download button in the sidebar of every reel saves it at the quality set under Downloads. Off or paused, reels show only Facebook's own buttons.	Tombol Unduh di bilah samping setiap reel menyimpannya dengan kualitas yang diatur di bagian Unduhan. Jika nonaktif atau dijeda, reel hanya menampilkan tombol bawaan Facebook.
A file named %1$s in %2$s paused Hushfacebook.	File bernama %1$s di %2$s menjeda Hushfacebook.
About	Tentang
Ad cards between the stories people posted.	Kartu iklan di antara cerita yang diposting orang.
Ad telemetry blocked	Telemetri iklan diblokir
Adds Download to phone to feed and Watch video menus. Saves at the quality set below. Off or paused, Facebook's menu returns.	Menambahkan Unduh ke ponsel ke menu video beranda dan Watch. Menyimpan dengan kualitas yang diatur di bawah. Saat mati atau dijeda, menu Facebook kembali.
Adds Save to the menu of anyone's story, and saves at the quality set under Downloads. Off or paused, only your own stories have Save, and it's Facebook's own.	Menambahkan opsi Simpan ke menu cerita siapa pun dan menyimpannya dengan kualitas yang diatur di bagian Unduhan. Jika nonaktif atau dijeda, opsi Simpan hanya ada di cerita Anda sendiri dan memakai fitur simpan bawaan Facebook.
Ads inside Reels. Banners, mid-rolls and app-inserted ads stay blocked even while paused.	Iklan di dalam Reels. Banner, iklan di tengah video, dan iklan yang disisipkan aplikasi tetap diblokir saat dijeda.
AMOLED black theme	Tema hitam AMOLED
Audience Network off	Audience Network nonaktif
Back	Kembali
Background ad prefetch blocked	Pramuat iklan di latar belakang diblokir
Cancel	Batal
Changing these	Mengubah pilihan ini
Choose a settings file and preview what would change before importing.	Pilih berkas pengaturan dan lihat perubahan sebelum mengimpornya.
Clear diagnostic data	Hapus data diagnostik
Copy a quick report or save the full one to Download/Morphe. Names, IDs, links and cookies are omitted.	Salin laporan singkat atau simpan laporan lengkap di Download/Morphe. Nama, ID, tautan, dan cookie dihilangkan.
Copy quick report	Salin laporan singkat
Couldn't import every setting. Check the switches on this screen.	Tidak semua pengaturan dapat diimpor. Periksa sakelar di layar ini.
Couldn't import the settings. Nothing was changed.	Pengaturan tidak dapat diimpor. Tidak ada yang diubah.
Couldn't open that file. Nothing was changed.	File itu tidak dapat dibuka. Tidak ada yang diubah.
Couldn't open the file picker. Try again.	Pemilih file tidak dapat dibuka. Coba lagi.
Couldn't put back the diagnostic data. Try again.	Data diagnostik tidak dapat dikembalikan. Coba lagi.
Couldn't save the settings file. Try again.	File pengaturan tidak dapat disimpan. Coba lagi.
Couldn't save this video. Play it for a moment, then try again.	Video ini tidak dapat disimpan. Putar sebentar, lalu coba lagi.
Couldn't start that. Try again in a moment.	Tidak dapat dimulai. Coba lagi dalam beberapa saat.
Couldn't start the report export. Try again shortly.	Ekspor laporan tidak dapat dimulai. Coba lagi dalam beberapa saat.
Dark mode draws black instead of dark grey. Turn on dark mode in Facebook to see it.	Mode gelap memakai warna hitam, bukan abu-abu gelap. Aktifkan mode gelap di Facebook untuk melihatnya.
Debug logging	Pencatatan debug
Diagnostic data cleared. Tap again to put it back.	Data diagnostik dihapus. Ketuk lagi untuk mengembalikannya.
Diagnostic data put back.	Data diagnostik dikembalikan.
