# Turkish for Hushfacebook: the English key, a tab, the translation. One row per string.
# After editing, run python scripts/gen-l10n.py from the repository root.
"Pages you may like" cards and the cards Facebook uses to push its own features. In-feed surveys go too.	“Beğenebileceğin Sayfalar” kartları ve Facebook'un kendi özelliklerini öne çıkardığı kartlar. Akıştaki anketler de kalkar.
%1$d item in that file isn't a setting this version of Hushfacebook knows, so it'll be left out.	O dosyadaki %1$d öğe, Hushfacebook'un bu sürümünün tanıdığı ayarlardan değil, bu yüzden atlanacak.
%1$d items in that file aren't settings this version of Hushfacebook knows, so they'll be left out.	O dosyadaki %1$d öğe, Hushfacebook'un bu sürümünün tanıdığı ayarlardan değil, bu yüzden atlanacak.
%1$d switch will change.	%1$d anahtar değişecek.
%1$d switches will change.	%1$d anahtar değişecek.
%1$s of %2$s	%1$s / %2$s
%1$s so far	Şimdiye kadar %1$s
%1$s. It was set when you patched, so Pause can't turn it off. To rule it out, patch again and leave out that patch.	%1$s. Yamaladığında ayarlandığı için Duraklatma bunu kapatamaz. Bunu elemek için yeniden yamala ve o yamayı dışarıda bırak.
%1$s. They were set when you patched, so Pause can't turn them off. To rule one out, patch again and leave out the patch in brackets after it.	%1$s. Yamaladığında ayarlandıkları için Duraklatma bunları kapatamaz. Birini elemek için yeniden yamala ve onun ardından parantez içinde yazan yamayı dışarıda bırak.
A diagnostic report is already being saved.	Bir tanılama raporu zaten kaydediliyor.
A Download button in the sidebar of every reel saves it at the quality set under Downloads. Off or paused, reels show only Facebook's own buttons.	Her Reels videosunun kenar çubuğundaki İndir düğmesi, videoyu İndirmeler bölümünde seçilen kalitede kaydeder. Kapalıyken veya duraklatılmışken Reels videolarında yalnızca Facebook'un kendi düğmeleri görünür.
A file named %1$s in %2$s paused Hushfacebook.	%2$s içindeki %1$s adlı bir dosya Hushfacebook'u duraklattı.
About	Hakkında
Ad cards between the stories people posted.	İnsanların paylaştığı hikayeler arasındaki reklam kartları.
Ad telemetry blocked	Reklam telemetrisi engellendi
Adds "Download to phone" to feed and Watch video menus. Saves at the quality set below. Off or paused, Facebook's menu returns.	Akış ve Watch video menülerine “Telefona indir” seçeneğini ekler. Aşağıda seçilen kalitede kaydeder. Kapalıyken veya duraklatıldığında Facebook menüsü geri gelir.
Adds Save to the menu of anyone's story, and saves at the quality set under Downloads. Off or paused, only your own stories have Save, and it's Facebook's own.	Kimin olursa olsun her hikayenin menüsüne Kaydet seçeneğini ekler ve hikayeyi İndirmeler bölümünde seçilen kalitede kaydeder. Kapalıyken veya duraklatılmışken Kaydet seçeneği yalnızca kendi hikayelerinde bulunur ve Facebook'un kendi kaydetme işlevini çalıştırır.
