# German for Hushfacebook: the English key, a tab, the translation. One row per string.
# After editing, run python scripts/gen-l10n.py from the repository root.
"Pages you may like" cards and the cards Facebook uses to push its own features. In-feed surveys go too.	„Seiten, die dir gefallen könnten“ und die Karten, mit denen Facebook für eigene Funktionen wirbt. Die Umfragen im Feed verschwinden auch.
%1$d item in that file isn't a setting this version of Hushfacebook knows, so it'll be left out.	%1$d Eintrag in dieser Datei ist keine Einstellung, die diese Version von Hushfacebook kennt, und wird deshalb ausgelassen.
%1$d items in that file aren't settings this version of Hushfacebook knows, so they'll be left out.	%1$d Einträge in dieser Datei sind keine Einstellungen, die diese Version von Hushfacebook kennt, und werden deshalb ausgelassen.
%1$d switch will change.	%1$d Schalter wird geändert.
%1$d switches will change.	%1$d Schalter werden geändert.
%1$s of %2$s	%1$s von %2$s
%1$s so far	Bisher %1$s
%1$s. It was set when you patched, so Pause can't turn it off. To rule it out, patch again and leave out that patch.	%1$s. Das wurde beim Patchen festgelegt, deshalb kann die Pause es nicht ausschalten. Um es auszuschließen, patche erneut und lass diesen Patch weg.
%1$s. They were set when you patched, so Pause can't turn them off. To rule one out, patch again and leave out the patch in brackets after it.	%1$s. Diese wurden beim Patchen festgelegt, deshalb kann die Pause sie nicht ausschalten. Um eines davon auszuschließen, patche erneut und lass den Patch weg, der in Klammern dahinter steht.
A diagnostic report is already being saved.	Ein Diagnosebericht wird bereits gespeichert.
A Download button in the sidebar of every reel saves it at the quality set under Downloads. Off or paused, reels show only Facebook's own buttons.	Ein Download-Button in der Seitenleiste jedes Reels speichert es in der Qualität, die unter „Downloads“ eingestellt ist. Ist der Schalter aus oder Hushfacebook pausiert, zeigen Reels nur Facebooks eigene Buttons.
A file named %1$s in %2$s paused Hushfacebook.	Eine Datei namens %1$s in %2$s hat Hushfacebook pausiert.
About	Info
Ad cards between the stories people posted.	Werbekarten zwischen den Stories, die Leute gepostet haben.
Ad telemetry blocked	Werbe-Telemetrie blockiert
Adds "Download to phone" to feed and Watch video menus. Saves at the quality set below. Off or paused, Facebook's menu returns.	Fügt den Video-Menüs im Feed und in Watch „Aufs Handy herunterladen“ hinzu. Speichert in der Qualität, die weiter unten eingestellt ist. Ausgeschaltet oder pausiert erscheint wieder Facebooks Menü.
Adds Save to the menu of anyone's story, and saves at the quality set under Downloads. Off or paused, only your own stories have Save, and it's Facebook's own.	Fügt „Speichern“ zum Menü jeder Story hinzu, egal von wem, und speichert sie in der Qualität, die unter „Downloads“ eingestellt ist. Ist der Schalter aus oder Hushfacebook pausiert, gibt es „Speichern“ nur bei deinen eigenen Stories, und dort läuft Facebooks eigene Speicherfunktion.
Ads inside Reels. Banners, mid-rolls and app-inserted ads stay blocked even while paused.	Anzeigen in Reels. Banner, Werbeunterbrechungen und von der App eingefügte Anzeigen bleiben auch während einer Pause blockiert.
AMOLED black theme	Schwarzes AMOLED-Design
Audience Network off	Audience Network aus
Back	Zurück
Background ad prefetch blocked	Vorabladen von Werbung im Hintergrund blockiert
Cancel	Abbrechen
Changing these	So änderst du sie
Choose a settings file. Before anything is imported, you'll see how many switches it changes and any new download settings.	Wähle eine Einstellungsdatei. Vor dem Import siehst du, wie viele Schalter sie ändert und welche Download-Einstellungen neu sind.
Clear diagnostic data	Diagnosedaten löschen
Copy a quick report or save the full one to Download/Morphe. Names, IDs, links and cookies are omitted.	Kopiere einen Kurzbericht oder speichere den vollständigen Bericht unter Download/Morphe. Namen, IDs, Links und Cookies werden ausgelassen.
Copy quick report	Kurzbericht kopieren
Couldn't import every setting. Check the switches on this screen.	Nicht alle Einstellungen ließen sich importieren. Prüfe die Schalter auf diesem Bildschirm.
Couldn't import the settings. Nothing was changed.	Die Einstellungen ließen sich nicht importieren. Es wurde nichts geändert.
Couldn't open that file. Nothing was changed.	Diese Datei ließ sich nicht öffnen. Es wurde nichts geändert.
Couldn't open the file picker. Try again.	Die Dateiauswahl ließ sich nicht öffnen. Versuche es noch einmal.
Couldn't put back the diagnostic data. Try again.	Die Diagnosedaten ließen sich nicht wiederherstellen. Versuche es noch einmal.
Couldn't save the settings file. Try again.	Die Einstellungsdatei ließ sich nicht speichern. Versuche es noch einmal.
Couldn't save this video. Play it for a moment, then try again.	Dieses Video ließ sich nicht speichern. Spiel es kurz ab und versuche es dann noch einmal.
Couldn't start that. Try again in a moment.	Das ließ sich nicht starten. Versuche es gleich noch einmal.
Couldn't start the report export. Try again shortly.	Der Export des Berichts ließ sich nicht starten. Versuche es gleich noch einmal.
Dark mode draws black instead of dark grey. Turn on dark mode in Facebook to see it.	Der Dunkelmodus zeigt Schwarz statt Dunkelgrau. Schalte in Facebook den Dunkelmodus ein, um das zu sehen.
Debug logging	Debug-Protokollierung
Diagnostic data cleared. Tap again to put it back.	Diagnosedaten gelöscht. Tippe erneut, um sie wiederherzustellen.
Diagnostic data put back.	Diagnosedaten wiederhergestellt.
Diagnostic report copied to the clipboard.	Diagnosebericht in die Zwischenablage kopiert.
Download	Download
Download button on reels	Download-Button bei Reels
Download failed	Download fehlgeschlagen
Download feed and Watch videos	Videos aus Feed und Watch herunterladen
Download to phone	Aufs Handy herunterladen
Downloads	Downloads
Empties the log and the filter counts a report would include.	Leert das Protokoll und die Filterzähler, die ein Bericht enthalten würde.
Every switch but Debug logging acts as if it were off, and what was set when you patched stays in. Your settings stay as they are.	Jeder Schalter außer der Debug-Protokollierung verhält sich, als wäre er aus, und was beim Patchen festgelegt wurde, bleibt aktiv. Deine Einstellungen bleiben, wie sie sind.
Export diagnostic report	Diagnosebericht exportieren
Export settings	Einstellungen exportieren
Facebook crashed or froze within a minute of starting three times in a row, so Hushfacebook paused itself.	Facebook ist dreimal hintereinander innerhalb einer Minute nach dem Start abgestürzt oder hängen geblieben, deshalb hat sich Hushfacebook selbst pausiert.
Facebook doesn't download ads or its ad model in the background.	Facebook lädt im Hintergrund weder Werbung noch sein Werbemodell herunter.
Facebook doesn't serve ads to other apps on this phone.	Facebook liefert keine Werbung an andere Apps auf diesem Handy aus.
Facebook dark mode and this screen use your wallpaper colours. Android 11 uses blue instead. Turn on Facebook dark mode to see it.	Facebooks Dunkelmodus und diese Seite nutzen die Farben deines Hintergrundbilds. Android 11 nutzt stattdessen Blau. Aktiviere Facebooks Dunkelmodus, um es zu sehen.
From the next start, the switches above stop running and Facebook's own behaviour returns. Debug logging keeps working, and your choices stay.	Ab dem nächsten Start wirken die obigen Schalter nicht mehr und Facebooks eigenes Verhalten kehrt zurück. Die Debug-Protokollierung läuft weiter, und deine Auswahl bleibt erhalten.
Full report saved to %1$s	Vollständiger Bericht gespeichert unter %1$s
GPL-3.0, with the notices of the projects this is built on	GPL-3.0, mit den Hinweisen der Projekte, auf denen es aufbaut
Hide "People you may know"	„Personen, die du kennen könntest“ ausblenden
Hide "Suggested for you" posts	„Vorschläge für dich“ ausblenden
Hide AI-detected posts	Als KI erkannte Beiträge ausblenden
Hide promoted posts	Beworbene Beiträge ausblenden
Hide Reels in the feed	Reels im Feed ausblenden
Hide sponsored posts	Gesponserte Beiträge ausblenden
Hide sponsored reels	Gesponserte Reels ausblenden
Hide sponsored stories	Gesponserte Stories ausblenden
Hide page suggestions and Facebook's own promos	Seitenvorschläge und Facebooks Eigenwerbung ausblenden
Hide the Stories tray	Stories-Leiste ausblenden
How far a photo or video you're saving has got, with a button to cancel it	Fortschritt beim Speichern eines Fotos oder Videos, mit einem Button zum Abbrechen
Hushfacebook %1$s on Facebook %2$s	Hushfacebook %1$s auf Facebook %2$s
Hushfacebook is on	Hushfacebook ist aktiv
Hushfacebook is paused	Hushfacebook ist pausiert
Hushfacebook saves	Speichern mit Hushfacebook
Hushfacebook settings	Hushfacebook-Einstellungen
Hushfacebook settings couldn't open	Hushfacebook-Einstellungen ließen sich nicht öffnen
Hushfacebook turns back on when Facebook restarts.	Hushfacebook ist wieder aktiv, sobald Facebook neu startet.
Import	Importieren
Import settings	Einstellungen importieren
Importing settings	Einstellungen werden importiert
Licenses	Lizenzen
Link expired. Reopen the item and try again	Link abgelaufen. Öffne den Inhalt neu und versuche es noch einmal
Links	Links
Material You theme	Material-You-Design
News feed	Newsfeed
There's nothing to report yet. Turn on Debug logging, repeat what went wrong, then export again.	Noch nichts zu berichten. Schalte die Debug-Protokollierung ein, wiederhole, was schiefgelaufen ist, und exportiere dann erneut.
No screenshot watching for ads, and no reports of which apps you install.	Keine Screenshot-Erkennung bei Werbung und keine Meldungen darüber, welche Apps du installierst.
Not saved: that isn't a Facebook photo or video	Nicht gespeichert: Das ist kein Foto oder Video von Facebook
Not saved: the file is over 512 MB	Nicht gespeichert: Die Datei ist über 512 MB groß
OK	OK
Choose a folder name under Movies and Pictures. Invalid characters become underscores. Leave it blank to use the default folder, %1$s.	Wähle einen Ordnernamen unter Movies und Pictures. Ungültige Zeichen werden zu Unterstrichen. Lass das Feld leer, um den Standardordner %1$s zu verwenden.
Open links in your browser	Links in deinem Browser öffnen
Paid ads in the feed. They're dropped before Facebook adds them, so no gap is left.	Bezahlte Anzeigen im Feed. Diese werden aussortiert, bevor Facebook sie einfügt, sodass keine Lücke bleibt.
Pause Hushfacebook	Hushfacebook pausieren
Posts Facebook files as promotions rather than as ads.	Beiträge, die Facebook als beworben statt als Anzeige einstuft.
Posts Facebook slips into your feed from people and pages you don't follow and groups you haven't joined.	Beiträge von Personen und Seiten, denen du nicht folgst, und aus Gruppen, denen du nicht beigetreten bist, die Facebook in deinen Feed schiebt.
Posts that Facebook's own detection marks as made with AI. A post that only its creator labelled as AI stays. It's off by default because it hasn't been tested on a real feed yet.	Beiträge, die Facebooks eigene Erkennung als mit KI erstellt markiert. Ein Beitrag, den nur die Person, die ihn erstellt hat, als KI gekennzeichnet hat, bleibt sichtbar. Der Schalter ist standardmäßig aus, weil er noch nicht in einem echten Feed getestet wurde.
Profiles and some Settings pages open again on this re-signed build.	Profile und einige Einstellungsseiten öffnen sich in diesem neu signierten Build wieder.
Re-signed build fix	Fix für neu signierte Builds
Reading the settings file	Einstellungsdatei wird gelesen
Reels and Watch	Reels und Watch
Remove tracking from shared links	Tracking aus geteilten Links entfernen
Retry	Erneut versuchen
Save any story	Jede Story speichern
Save cancelled	Speichern abgebrochen
Save folder	Speicherordner
Save full report	Vollständigen Bericht speichern
Saved to %1$s	Gespeichert unter %1$s
Saved to the gallery	In der Galerie gespeichert
Saved. Restart Facebook to apply this change.	Gespeichert. Starte Facebook neu, um diese Änderung zu übernehmen.
Save your switches and download settings to a file. Pause and Debug logging aren't included.	Speichert deine Schalter und die Download-Einstellungen in einer Datei. Pause und Debug-Protokollierung sind nicht enthalten.
Saves will go to a folder named %1$s.	Was du speicherst, landet dann in einem Ordner namens %1$s.
Saving a photo	Foto wird gespeichert
Saving a video	Video wird gespeichert
Saving the settings file	Einstellungsdatei wird gespeichert
Saving...	Wird gespeichert …
Set when you patched	Beim Patchen festgelegt
Settings couldn't open	Einstellungen ließen sich nicht öffnen
Settings couldn't refresh completely. Reopen settings and try again.	Die Einstellungen ließen sich nicht vollständig aktualisieren. Öffne sie neu und versuche es noch einmal.
Settings exported.	Einstellungen exportiert.
Settings imported. %1$d switch changed.	Einstellungen importiert. %1$d Schalter wurde geändert.
Settings imported. %1$d switches changed.	Einstellungen importiert. %1$d Schalter wurden geändert.
Settings imported. Saves will go to a folder named %1$s.	Einstellungen importiert. Was du speicherst, landet jetzt in einem Ordner namens %1$s.
Source code and issues	Quellcode und Issues
Stays in while paused	Bleibt während der Pause aktiv
Stories	Stories
Takes tracking tags such as mibextid off the links you share or copy. A facebook.com/share/ link is made for one share, so Facebook can still trace it back to you.	Entfernt Tracking-Tags wie mibextid aus den Links, die du teilst oder kopierst. Ein Link zu facebook.com/share/ wird für ein einzelnes Teilen erstellt, deshalb kann Facebook ihn trotzdem auf dich zurückführen.
Tap to turn it back on.	Zum Wiedereinschalten tippen.
